Date;Price;Open;High;Low;Vol.;Change;Vol
Sep132019;10342.1;10415.2;10441.4;10174.1;365.52;-0.007;677940
Sep122019;10415.1;10162.4;10447.9;10051;413.22;0.0249;468740
Sep112019;10162.5;10104.9;10257.5;9908.9;413.06;0.0057;627040
Sep102019;10105.4;10308.7;10379.8;9970.7;383.22;-0.0198;778720
Sep092019;10309;10402.1;10478;10095.7;473.76;-0.009;1140
Sep082019;10402.8;10461.6;10578;10266.3;339.73;-0.0056;894550
Sep072019;10461.1;10306.9;10556.4;10302.3;393.57;0.0147;689560
Sep062019;10309.3;10566.7;10896.2;10227.4;643.02;-0.0244;492580
Sep052019;10566.9;10567.8;10630.7;10469.9;402.09;-0.0001;524560
Sep042019;10568.2;10611.6;10783.6;10388.6;504.45;-0.0042;503490
Sep032019;10612.3;10348.1;10756.8;10283.5;578.79;0.0255;611800
Sep022019;10348.8;9728.8;10431.5;9720.3;542.79;0.0637;518400
Sep012019;9729.3;9594.7;9799.5;9533.6;322.66;0.0141;609500
Aug312019;9594.4;9585.5;9677.5;9457.3;311.49;0.0009;648660
Aug302019;9585.4;9494.1;9675.7;9370.2;413.92;0.0099;499040
Aug292019;9491;9729.1;9729.1;9343;509.13;-0.0245;557140
Aug282019;9729.4;10184.7;10271.3;9629.6;580.29;-0.0447;706100
Aug272019;10184.8;10372.2;10387.6;10060.2;419.81;-0.018;780780
Aug262019;10371.8;10136;10568.2;10136;568.77;0.0232;971750
Aug252019;10136.3;10132.1;10307;9935.2;422.53;0.0005;548770
Aug242019;10131;10389.4;10415.9;9917.5;463.85;-0.0248;687780
Aug232019;10388.7;10104.9;10434.3;9921.4;436.26;0.0281;777000
Aug222019;10105;10141.1;10218.2;9777;520.75;-0.0036;650600
Aug212019;10141.5;10753.3;10797.8;9908;717.65;-0.0568;766710
Aug202019;10752.6;10911.2;10941.6;10581;515.47;-0.0145;737580
Aug192019;10910.7;10312.8;10923.9;10267.8;519.01;0.058;996490
